IMMAGINE	3.45
IMPETO	3.61
IMPULSO	4.52
INCUBO	4.68
INCUDINE	4.45
INDAGINE	4.45
INNO	5.36
INQUILINO	5.73
INSETTO	6.55
INTERESSE	2.57
INTESTINO	6.70
INVERNO	5.07
ISTINTO	4.25
LABIRINTO	6.09
LACCIO	5.66
LADRO	4.55
LAGO	6.55
LAMPADA	6.59
LANA	6.43
LANTERNA	4.43
LAPIDE	6.43
LATO	4.82
LATTE	6.82
LATTUGA	4.77
LEPRE	6.77
LIBRO	6.68
LIDO	5.02
LIMONE	6.89
LISTA	5.55
LITE	3.95
LITIGIO	4.59
LITRO	3.55
LOCULO	4.02
LODE	4.48
LUCCHETTO	6.73
LUCE	5.73
LUCERTOLA	6.93
LUMACA	6.75
LUNA	5.77
LUOGO	3.73
LUPO	5.86
LUSSO	4.34
LUTTO	4.68
MACCHINA	6.75
MADRE	4.11
MAGAZZINO	6.32
MAGO	5.73
MAIALE	6.91
MAIONESE	6.75
MAMMA	6.18
MANCIA	5.59
MANDORLA	6.57
MANO	6.66
MANZO	5.45
MARE	4.86
MARGINE	5.30
MARITO	3.66
MARMOTTA	4.70
MARTIRE	3.00
MATERASSO	5.95
MATITA	6.73
MEDAGLIA	6.14
MELA	6.43
MEMORIA	2.14
MENZOGNA	3.73
MERCE	5.64
MERLUZZO	5.93
MESTIERE	4.84
METALLO	5.98
METODO	2.25
MIELE	6.55
MINESTRA	4.81
MINISTRO	3.84
MISTERO	4.05
MODA	4.14
MOGLIE	5.14
MOLE	4.84
MONASTERO	6.18
MONDO	4.05
MONETA	4.91
MUCCA	6.70
MUCCHIO	5.30
MUFFA	6.25
MULINO	5.86
MULO	5.61
MUMMIA	6.39
MUNICIPIO	6.16
NASO	6.55
NATURA	3.98
NAVE	5.66
NAZIONE	5.14
NEBBIA	4.95
NEGOZIO	6.18
NEVE	4.84
NIDO	6.48
NIPOTE	5.36
NODO	6.30
NOIA	4.25
NOME	3.11
NONNO	5.66
NORMA	4.20
NOTTE	5.64
NUCA	5.20
NUORA	5.77
NUVOLA	3.95
OCCIDENTE	4.77
ODORE	4.86
OFFICINA	4.45
OMBELICO	6.68
ORGOGLIO	4.48
ORIGINE	4.39
ORIZZONTE	3.16
ORMA	6.00
ORSO	6.52
ORTICA	6.59
ORTO	4.61
ORZO	4.34
OSPEDALE	6.43
OSPITE	4.64
OVATTA	6.59
PACCO	4.82
PACE	2.50
PADELLA	6.61
PADRE	5.98
PAGINA	5.05
PALA	6.52
PALATO	5.86
PALAZZO	6.61
PALCO	4.66
PALESTRA	6.52
PALMA	4.98
PALO	6.64
PALUDE	6.41
PANE	6.91
PANNO	5.68
PARETE	6.61
PAROLA	3.52
PARRUCCA	4.75
PATATA	6.61
PATENTE	4.02
PATTO	3.89
PATTUGLIA	5.84
PAURA	4.55
PECORA	5.55
PENTOLA	4.68
PEPE	6.73
PERICOLO	4.27
PERLA	6.73
PETTINE	5.32
PIANETA	5.16
PICCO	3.77
PIETRA	5.52
PIGIAMA	4.50
PILLOLA	4.82
PINGUINO	6.52
PIOGGIA	6.48
PIOMBO	6.41
PIPA	6.41
PIRAMIDE	4.41
PISCINA	6.59
PISTOLA	6.75
PIUMA	5.50
POLLICE	6.91
POLPA	4.95
POLVERE	4.61
POMATA	6.64
PONTE	6.61
PONTEFICE	6.23
PRATO	6.50
PREDA	4.48
PREFETTO	5.55
PREGIO	4.18
PRESTIGIO	3.20
PRETORE	5.61
PRIGIONE	4.14
PRINCIPE	4.84
PRINCIPIO	4.02
PROBLEMA	3.09
PROFITTO	4.61
PROGRESSO	2.14
PROSA	4.93
PROVERBIO	4.73
PROVINCIA	4.93
PRUGNA	6.82
PUGILE	6.20
PUGNO	4.89
PULPITO	3.16
QUADERNO	6.43
QUESTIONE	3.66
RABBIA	2.73
RACCHETTA	6.59
RAFFICA	3.11
RAGAZZO	5.98
RAGNO	5.52
RANA	4.84
RAPA	6.61
RATA	5.00
RAZZO	6.43
RELIGIONE	4.41
RESIDUO	5.32
RINGHIERA	6.75
RISSA	3.89
RITMO	3.20
